desc,address,city,province,postal_code
07060,FCTStreet Perfect,,,,
600109010,Certs Test 4,10088 102 AVE NW APT 1406,EDMONTON,AB,5J3N5
600109020,Certs Test 4,1000 PALLADIUM DR APT 68,KANATA,ON,2V1A5
600109030,Certs Test 4,220 4 AVE SE APT 45,CALGARY,AB,2G0L1
600109040,Certs Test 4,1660 RUE ROYALE PH 104,TROIS-RIVIERES,QC,9A0C5
600109050,Certs Test 4,20 YORK MILLS RD TH 165,NORTH YORK,ON,2P2G8
600109060,Certs Test 4,1500 RUE UNIVERSITY PH 899,MONTREAL,QC,3A3S8
600109070,Certs Test 4,999 RUE UNIVERSITY RM 157,MONTREAL,QC,3C5H7
600109080,Certs Test 4,6 LANSING SQ PH 103,NORTH YORK,ON,2J1T9
600109090,Certs Test 4,75 CORPORATE PARK DR TH 3,ST CATHARINES,ON,2S3X9
600109100,Certs Test 4,165 UNIVERSITY AVE PH 708,TORONTO,ON,5H3B9
600112011,Certs Test 4,7954-1201 CAMERON AVE,KELOWNA,BC,1W3S1
600112021,Certs Test 4,3682-23000 DYKE RD,RICHMOND,BC,6V2H2
600112031,Certs Test 4,6677-525 PARK ST,WINKLER,MB,6W1B2
600112042,Certs Test 4,2976-5426 DUNDEE ST,VANCOUVER,BC,5R5Y7
600112054,Certs Test 4,9696-1745 FELL AVE,NORTH VANCOUVER,BC,7P3L4
600112064,Certs Test 4,5270-8531 BENNETT RD,RICHMOND,BC,6Y3M6
600112074,Certs Test 4,4320-305 CALAHOO RD,SPRUCE GROVE,AB,7X3K7
600112084,Certs Test 4,7180-7820 ABERCROMBIE PL,RICHMOND,BC,6Y3M1
600158095,Certs Test 4,BOX 33,LAC-DES-ECORCES,QC,0W1H0
600159005,Certs Test 4,PO BOX 66003 STN MAIN,REGINA,SK,4P3B7
600159015,Certs Test 4,PO BOX 59286 STN DON MILLS,NORTH YORK,ON,3C4C6
600159025,Certs Test 4,PO BOX 52152 STN MAIN,CONCORD,ON,4K5N2
